dateIDd,Weekday,Holiday,Duration,Volume
20180528,1,0,779.9106296024984,25937
20180529,1,0,836.8117478159936,32738
20180530,1,0,827.6335956106237,33171
20180531,1,0,813.8092105263158,32072
20180601,1,0,813.3647411807492,32996
20180602,0,0,922.520277100553,33634
20180603,0,0,934.0932707562137,30256
20180604,1,0,623.9757497656982,8536
20180605,1,0,754.8937410155795,25739
20180606,1,0,779.3671875,28800
20180607,1,0,803.5,31000
20180608,1,0,829.054803204057,34706
20180609,0,0,927.093921667607,33677
20180610,0,0,918.2656084281977,28286
20180611,1,0,843.8532539480387,31408
20180612,1,0,827.2568873633818,33213
20180613,1,0,753.1405462629684,23615
20180614,1,0,682.4547343741674,18767
20180615,1,0,808.879448358567,33355
20180616,0,0,887.5325015353784,30937
20180617,0,0,881.7579011499505,26262
20180618,1,0,734.3091467511277,20838
20180619,1,0,825.2674178460791,32926
20180620,1,0,794.2885084734111,29091
20180621,1,0,802.9683482605252,32826
20180622,1,0,827.8346064635844,32335
20180623,0,0,808.2360750801159,19659
20180624,0,1,937.4278834280069,16196
20180625,1,1,899.7439462068396,24241
20180626,1,0,810.9605437344612,30971
20180627,1,0,784.0787982429669,29823
20180628,1,0,781.1393450881612,29775
20180629,1,0,818.1022727272727,32648
20180630,0,0,847.4987934362935,24864
20180701,0,1,879.818654332173,20971
20180702,1,1,791.3014085929217,19807
20180703,1,0,799.73350491343,29918
20180704,1,0,795.7202636766084,30947
20180705,1,0,778.540964015403,30124
20180706,1,0,822.5027668452046,33793
20180707,0,0,936.2523215793233,30798
20180708,0,0,905.7560928730684,26014
20180709,1,0,813.1751800368447,29855
20180710,1,0,805.4936208613393,32136
20180711,1,0,831.2857611548557,33528
20180712,1,0,812.1561479706455,33385
20180713,1,0,823.9511177794449,33325
20180714,0,0,894.5650758467825,28874
20180715,0,0,864.63840159545,27077
20180716,1,0,804.7285761262742,30410
20180717,1,0,795.8683565553131,29785
20180718,1,0,825.123438626857,34665
20180719,1,0,809.199651907136,33899
20180720,1,0,801.6934095678355,32881
20180721,0,0,927.5325866954527,29644
20180722,0,0,805.6769654511706,16701
20180723,1,0,789.9868215955788,28228
20180724,1,0,772.5421020975866,26602
20180725,1,0,693.235237506015,14547
20180726,1,0,789.5505587446079,29441
20180727,1,0,815.2650285076846,32272
20180728,0,0,922.1870253164557,28440
20180729,0,0,963.5574257122747,32677
20180730,1,0,820.9519530353219,30491
20180731,1,0,807.9252843768107,32791
20180801,1,0,795.9299695378832,30858
20180802,1,0,815.2202991903199,33223
20180803,1,0,825.07360956274,32292
20180804,0,0,890.1723358753984,24783
20180805,0,0,926.309857608258,27319
20180806,1,0,803.0535044495109,27194
20180807,1,0,772.196451686591,26266
20180808,1,0,790.0691117393245,26884
20180809,1,0,803.4359948898116,31310
20180810,1,0,833.9248966536918,33141
20180811,0,0,918.7482570843883,28831
20180812,0,0,907.292215895796,25642
20180813,1,0,809.3744708016934,29762
20180814,1,0,799.708703888015,31147
20180815,1,0,796.1639533763606,31143
20180816,1,0,825.7925538241941,33628
20180817,1,0,722.3924728700069,21655
20180818,0,0,936.9381163211914,29814
20180819,0,0,927.822633337004,27243
20180820,1,0,823.2381839576387,30594
20180821,1,0,813.4200907238182,30422
20180822,1,0,731.9767827529022,24723
20180823,1,0,811.2622298580342,33177
20180824,1,0,821.348526593196,33392
20180825,0,0,911.8884348038702,28629
20180826,0,0,867.1576617753187,20785
20180827,1,0,804.7049376957419,30014
20180828,1,0,779.7542650353265,29015
20180829,1,0,774.1371073408366,29765
20180830,1,0,790.0315226133762,32326
20180831,1,0,828.7559923593567,32458
20180901,0,0,903.152679085846,26035
20180902,0,0,822.830517286197,15388
20180903,1,1,836.709191330972,16657
20180904,1,0,800.6783623919978,32291
20180905,1,0,774.5484200121169,31361
20180906,1,0,776.7021562519088,32742
20180907,1,0,802.5414262221558,33445
20180908,0,0,853.6952751312464,25715
20180909,0,0,841.7684534472463,21771
20180910,1,0,709.6687011822954,23429
20180911,1,0,724.0275899377874,22182
20180912,1,0,769.8255203330132,31230
20180913,1,0,793.873101391045,32853
20180914,1,0,793.3412573910945,33148
20180915,0,0,879.8839622987495,27267
20180916,0,0,875.6731218294549,24838
20180917,1,0,784.5649592664665,30319
20180918,1,0,740.7957433511561,28802
20180919,1,0,719.3731316143579,27497
20180920,1,0,730.7524861878453,28055
20180921,1,0,681.9343532853834,16406
20180922,0,0,823.4990477034149,22577
20180923,0,0,785.42191104673,18639
20180924,1,0,720.4063631007491,23762
