,dateIDd,Weekday,Holiday,Duration,Volume,dateIDd,Weekday,Holiday,Duration,Volume
294,20180628,1,0,781.1393450881613,29775,20180628,1,0,781.1393450881613,29775
295,20180629,1,0,818.1022727272727,32648,20180629,1,0,818.1022727272727,32648
296,20180630,0,0,847.4987934362935,24864,20180630,0,0,847.4987934362935,24864
297,20180701,0,1,879.818654332173,20971,20180701,0,1,879.818654332173,20971
298,20180702,1,1,791.3014085929218,19807,20180702,1,1,791.3014085929218,19807
299,20180703,1,0,799.73350491343,29918,20180703,1,0,799.73350491343,29918
300,20180704,1,0,795.7202636766084,30947,20180704,1,0,795.7202636766084,30947
301,20180705,1,0,778.540964015403,30124,20180705,1,0,778.540964015403,30124
302,20180706,1,0,822.5027668452046,33793,20180706,1,0,822.5027668452046,33793
303,20180707,0,0,936.2523215793233,30798,20180707,0,0,936.2523215793233,30798
304,20180708,0,0,905.7560928730684,26014,20180708,0,0,905.7560928730684,26014
305,20180709,1,0,813.1751800368448,29855,20180709,1,0,813.1751800368448,29855
306,20180710,1,0,805.4936208613393,32136,20180710,1,0,805.4936208613393,32136
307,20180711,1,0,831.2857611548558,33528,20180711,1,0,831.2857611548558,33528
308,20180712,1,0,812.1561479706454,33385,20180712,1,0,812.1561479706454,33385
309,20180713,1,0,823.9511177794449,33325,20180713,1,0,823.9511177794449,33325
310,20180714,0,0,894.5650758467825,28874,20180714,0,0,894.5650758467825,28874
311,20180715,0,0,864.63840159545,27077,20180715,0,0,864.63840159545,27077
312,20180716,1,0,804.7285761262742,30410,20180716,1,0,804.7285761262742,30410
313,20180717,1,0,795.8683565553131,29785,20180717,1,0,795.8683565553131,29785
314,20180718,1,0,825.123438626857,34665,20180718,1,0,825.123438626857,34665
315,20180719,1,0,809.199651907136,33899,20180719,1,0,809.199651907136,33899
316,20180720,1,0,801.6934095678355,32881,20180720,1,0,801.6934095678355,32881
317,20180721,0,0,927.5325866954528,29644,20180721,0,0,927.5325866954528,29644
318,20180722,0,0,805.6769654511706,16701,20180722,0,0,805.6769654511706,16701
319,20180723,1,0,789.9868215955788,28228,20180723,1,0,789.9868215955788,28228
320,20180724,1,0,772.5421020975866,26602,20180724,1,0,772.5421020975866,26602
321,20180725,1,0,693.235237506015,14547,20180725,1,0,693.235237506015,14547
322,20180726,1,0,789.5505587446079,29441,20180726,1,0,789.5505587446079,29441
323,20180727,1,0,815.2650285076846,32272,20180727,1,0,815.2650285076846,32272
324,20180728,0,0,922.1870253164557,28440,20180728,0,0,922.1870253164557,28440
325,20180729,0,0,963.5574257122748,32677,20180729,0,0,963.5574257122748,32677
