dateIDh,Weekday,Holiday,Duration,Volume
2018091020,1,0,586.0389380530974,565
2018091021,1,0,618.465940054496,367
2018091022,1,0,546.6350710900474,211
2018091023,1,0,519.0833333333334,96
2018091100,1,0,581.2962962962963,81
2018091101,1,0,487.3448275862069,29
2018091102,1,0,693.7894736842105,19
2018091103,1,0,721.5,14
2018091104,1,0,839.5384615384615,13
2018091105,1,0,588.7735849056604,53
2018091106,1,0,639.752688172043,186
2018091107,1,0,686.5865209471767,549
2018091108,1,0,691.205329153605,1276
2018091109,1,0,629.6831140350877,912
2018091110,1,0,655.0198170731708,656
2018091111,1,0,685.0901734104046,865
2018091112,1,0,728.2723845428841,1061
2018091113,1,0,698.3183047790802,1109
2018091114,1,0,736.9421252371917,1054
2018091115,1,0,797.266615737204,1309
2018091116,1,0,780.7619266055046,2180
2018091117,1,0,776.3512956419316,3396
2018091118,1,0,728.2960304054054,2368
2018091119,1,0,704.9730557256582,1633
2018091120,1,0,691.0399680255796,1251
2018091121,1,0,713.1702127659574,1034
2018091122,1,0,672.7372881355932,708
2018091123,1,0,702.3732394366198,426
2018091200,1,0,635.4698795180723,249
2018091201,1,0,800.8583333333333,120
2018091202,1,0,674.6931818181819,88
2018091203,1,0,753.1296296296297,54
2018091204,1,0,993.7884615384615,52
2018091205,1,0,715.0,129
2018091206,1,0,721.1951219512196,451
2018091207,1,0,844.6105976586568,1623
2018091208,1,0,791.4662990196078,3264
2018091209,1,0,744.5057787561915,1817
2018091210,1,0,764.1657509157509,1092
2018091211,1,0,747.1185737976783,1206
2018091212,1,0,717.5028248587571,1416
2018091213,1,0,714.0663265306123,1372
2018091214,1,0,825.7347100873709,1259
2018091215,1,0,810.6732066217045,1631
2018091216,1,0,810.5425940138143,2606
2018091217,1,0,802.6370485840478,3849
2018091218,1,0,761.9747054747055,2886
2018091219,1,0,740.624678663239,1945
2018091220,1,0,713.8325391422736,1469
2018091221,1,0,730.4961373390558,1165
2018091222,1,0,736.1151776103337,929
2018091223,1,0,705.2060931899641,558
2018091300,1,0,708.7729885057471,348
2018091301,1,0,761.4610778443114,167
2018091302,1,0,755.4556962025316,79
2018091303,1,0,884.4605263157895,76
2018091304,1,0,877.9777777777778,45
2018091305,1,0,715.5036496350365,137
2018091306,1,0,708.6361502347418,426
2018091307,1,0,839.5303370786517,1780
2018091308,1,0,820.1231819531018,3369
2018091309,1,0,729.275,1720
2018091310,1,0,780.3050193050193,1036
2018091311,1,0,830.3559322033898,1298
2018091312,1,0,768.5523215523216,1443
2018091313,1,0,746.8376623376623,1386
2018091314,1,0,771.7436456063907,1377
2018091315,1,0,857.4695340501792,1674
2018091316,1,0,837.4613106256942,2701
2018091317,1,0,837.9971128608923,3810
2018091318,1,0,785.6768603465852,2943
2018091319,1,0,777.9476635514019,2140
2018091320,1,0,739.9856396866841,1532
2018091321,1,0,757.6590405904059,1355
2018091322,1,0,754.7541998231653,1131
2018091323,1,0,744.4556818181818,880
2018091400,1,0,722.7621052631579,475
2018091401,1,0,860.742671009772,307
2018091402,1,0,764.4245810055866,179
2018091403,1,0,803.8456375838927,149
2018091404,1,0,860.5952380952381,84
2018091405,1,0,697.006711409396,149
2018091406,1,0,710.0257611241218,427
2018091407,1,0,818.2260061919504,1615
2018091408,1,0,774.3906402339942,3077
2018091409,1,0,699.2167789344765,1633
2018091410,1,0,742.0019607843137,1020
2018091411,1,0,789.4001479289941,1352
2018091412,1,0,741.2453646477132,1618
2018091413,1,0,756.4598997493734,1596
2018091414,1,0,808.7333781061114,1489
2018091415,1,0,832.0577427821522,1905
2018091416,1,0,830.4700973574409,2876
2018091417,1,0,826.3239517518667,3482
2018091418,1,0,817.9988421458896,2591
2018091419,1,0,768.2778864970646,2044
2018091420,1,0,779.9580559254327,1502
2018091421,1,0,825.8162083936325,1382
2018091422,1,0,821.3189655172414,1160
2018091423,1,0,836.976833976834,1036
2018091500,0,0,797.6238044633369,941
2018091501,0,0,904.9985673352436,698
2018091502,0,0,887.6098484848485,528
2018091503,0,0,959.8283018867925,530
2018091504,0,0,824.0462427745665,173
2018091505,0,0,803.2376237623762,101
2018091506,0,0,641.744827586207,145
2018091507,0,0,712.1283783783783,296
2018091508,0,0,730.0681818181819,616
2018091509,0,0,720.6447230929989,957
2018091510,0,0,869.940212940213,1221
2018091511,0,0,877.5246666666667,1500
2018091512,0,0,906.3567021873247,1783
2018091513,0,0,907.184251968504,1905
2018091514,0,0,930.5996818663839,1886
2018091515,0,0,918.0028116213683,2134
2018091516,0,0,930.273837482386,2129
2018091517,0,0,907.1914682539683,2016
2018091518,0,0,892.1739130434783,1955
2018091519,0,0,881.0094280326839,1591
2018091520,0,0,840.5250616269515,1217
2018091521,0,0,872.7027540360874,1053
2018091522,0,0,854.1105424769703,977
2018091523,0,0,870.7715846994536,915
2018091600,0,0,867.2263329706202,919
2018091601,0,0,863.3277945619335,662
2018091602,0,0,919.9917864476386,487
2018091603,0,0,952.3258928571429,448
2018091604,0,0,884.1717791411043,163
2018091605,0,0,756.3506493506494,77
2018091606,0,0,677.0403225806451,124
2018091607,0,0,798.0540540540541,259
2018091608,0,0,756.51,500
2018091609,0,0,777.2809917355372,847
2018091610,0,0,854.0854402789887,1147
2018091611,0,0,867.6174591909155,1409
2018091612,0,0,939.015503875969,1677
2018091613,0,0,907.3289972899729,1845
2018091614,0,0,937.4474339810663,2007
2018091615,0,0,952.3716337522442,2228
2018091616,0,0,929.2740454325761,2069
2018091617,0,0,871.9578563995838,1922
2018091618,0,0,853.1077560686797,1689
2018091619,0,0,837.8844290657439,1445
2018091620,0,0,802.1419110690634,1057
2018091621,0,0,736.5073041168658,753
2018091622,0,0,798.4782608695652,644
2018091623,0,0,774.0847826086956,460
2018091700,1,0,741.6007326007326,273
2018091701,1,0,813.390243902439,123
2018091702,1,0,790.6625,80
2018091703,1,0,772.728813559322,59
2018091704,1,0,843.8653846153846,52
2018091705,1,0,735.8086956521739,115
2018091706,1,0,785.3902953586498,474
2018091707,1,0,852.0469678953626,1682
2018091708,1,0,814.1914311759343,3291
2018091709,1,0,758.231875,1600
2018091710,1,0,779.9614973262032,935
2018091711,1,0,792.221645021645,1155
2018091712,1,0,741.2344731332868,1433
2018091713,1,0,746.7270051508463,1359
2018091714,1,0,808.0120870265914,1241
2018091715,1,0,793.9148284313726,1632
2018091716,1,0,822.7090566037735,2650
2018091717,1,0,820.3271147457194,3913
2018091718,1,0,780.475368572456,2781
2018091719,1,0,728.4561027837259,1868
2018091720,1,0,716.9729119638827,1329
2018091721,1,0,736.234360410831,1071
2018091722,1,0,745.4711286089239,762
2018091723,1,0,677.578231292517,441
2018091800,1,0,674.2,240
2018091801,1,0,855.448275862069,116
2018091802,1,0,858.9710144927536,69
2018091803,1,0,847.3137254901961,51
2018091804,1,0,710.175,40
2018091805,1,0,782.612676056338,142
2018091806,1,0,723.1851851851852,486
2018091807,1,0,813.4010123734533,1778
2018091808,1,0,795.4905320108205,3327
2018091809,1,0,712.2026143790849,1683
2018091810,1,0,776.6023856858847,1006
2018091811,1,0,719.2323049001815,1102
2018091812,1,0,713.8733286418015,1421
2018091813,1,0,731.4620909816441,1253
2018091814,1,0,750.4191829484902,1126
2018091815,1,0,775.5876524390244,1312
2018091816,1,0,797.8107887208827,2447
2018091817,1,0,771.8929939792009,3654
2018091818,1,0,707.5577376276512,2546
2018091819,1,0,673.9858112276372,1621
2018091820,1,0,670.6891666666667,1200
2018091821,1,0,624.3481701285856,1011
2018091822,1,0,616.5186721991702,723
2018091823,1,0,612.8928571428571,448
2018091900,1,0,595.696682464455,211
2018091901,1,0,654.9752066115702,121
2018091902,1,0,909.6481481481482,54
2018091903,1,0,668.9318181818181,44
2018091904,1,0,580.3947368421053,38
2018091905,1,0,651.801652892562,121
2018091906,1,0,722.2959641255605,446
2018091907,1,0,810.5658140985652,1603
2018091908,1,0,761.285334220153,3007
2018091909,1,0,685.4004767580453,1678
2018091910,1,0,741.3167028199566,922
2018091911,1,0,733.2007168458781,1116
2018091912,1,0,666.4926184926185,1287
2018091913,1,0,688.9209621993127,1164
2018091914,1,0,681.4234062797336,1051
2018091915,1,0,707.4700149925037,1334
2018091916,1,0,744.7613386173492,2271
2018091917,1,0,754.1719670200235,3396
2018091918,1,0,719.2146282973621,2502
2018091919,1,0,676.4346749226006,1615
2018091920,1,0,683.7260049220673,1219
2018091921,1,0,668.2660465116279,1075
2018091922,1,0,666.3240223463687,716
2018091923,1,0,673.2667984189724,506
2018092000,1,0,685.6091954022988,261
2018092001,1,0,732.0508474576271,118
2018092002,1,0,768.546511627907,86
2018092003,1,0,564.448275862069,58
2018092004,1,0,709.0,34
2018092005,1,0,686.9115044247787,113
2018092006,1,0,681.5626598465473,391
2018092007,1,0,793.0006631299734,1508
2018092008,1,0,772.7696015424165,3112
2018092009,1,0,672.9174256223437,1647
2018092010,1,0,698.2371007371007,814
2018092011,1,0,670.9793621013133,1066
2018092012,1,0,643.386189258312,1173
2018092013,1,0,715.3184713375796,1256
2018092014,1,0,729.9214474845543,1133
2018092015,1,0,787.9019741320626,1469
2018092016,1,0,786.0327102803739,2354
2018092017,1,0,775.4799879626843,3323
2018092018,1,0,722.6052308949735,2447
2018092019,1,0,689.404526987812,1723
2018092020,1,0,678.1760124610591,1284
2018092021,1,0,723.1642050390965,1151
2018092022,1,0,687.728018757327,853
2018092023,1,0,683.734214390602,681
2018092100,1,0,745.5439429928741,421
2018092101,1,0,716.4955357142857,224
2018092102,1,0,711.9054054054054,148
2018092103,1,0,887.559633027523,109
2018092104,1,0,707.6078431372549,51
2018092105,1,0,694.2752293577981,109
2018092106,1,0,627.9713261648745,279
2018092107,1,0,603.0178041543027,337
2018092108,1,0,635.1484184914842,822
2018092109,1,0,573.9102402022756,791
2018092110,1,0,516.4517543859649,228
2018092111,1,0,531.2358490566038,212
2018092112,1,0,587.0878378378378,592
2018092113,1,0,615.1907090464548,818
2018092114,1,0,690.3846960167715,954
2018092115,1,0,741.1210967250571,1313
2018092116,1,0,756.8556749182625,2141
2018092117,1,0,745.9937888198758,2737
2018092118,1,0,675.9951742627346,1865
2018092119,1,0,576.7150537634409,744
2018092120,1,0,525.0670731707318,164
2018092121,1,0,627.82722513089,382
2018092122,1,0,647.2164502164502,462
2018092123,1,0,706.2644135188867,503
2018092200,0,0,772.2234273318873,461
2018092201,0,0,817.3272727272728,440
2018092202,0,0,793.7507418397627,337
2018092203,0,0,958.0426356589147,258
2018092204,0,0,856.1724137931035,116
2018092205,0,0,697.5822784810126,79
2018092206,0,0,617.8014705882352,136
2018092207,0,0,694.2527075812275,277
2018092208,0,0,658.5466179159049,547
2018092209,0,0,750.3677639046538,881
2018092210,0,0,823.1099000908265,1101
2018092211,0,0,832.2017045454545,1408
2018092212,0,0,883.7922077922078,1617
2018092213,0,0,838.7156123041207,1723
2018092214,0,0,906.41147807255,1847
2018092215,0,0,904.6496881496881,1924
2018092216,0,0,872.0316831683168,2020
2018092217,0,0,843.353569421023,1779
2018092218,0,0,844.2550582464745,1631
2018092219,0,0,719.1773109243697,1190
2018092220,0,0,725.8098958333334,768
2018092221,0,0,780.8093333333334,750
2018092222,0,0,749.1811697574893,701
2018092223,0,0,648.6177474402731,586
2018092300,0,0,712.2173144876325,566
2018092301,0,0,750.8145363408521,399
2018092302,0,0,773.8515406162466,357
2018092303,0,0,871.0774193548388,310
2018092304,0,0,721.9007092198582,141
2018092305,0,0,726.2413793103449,87
2018092306,0,0,710.3249097472924,277
2018092307,0,0,752.9391634980989,263
2018092308,0,0,822.106976744186,430
2018092309,0,0,831.8474114441417,734
2018092310,0,0,862.6844526218952,1087
2018092311,0,0,848.2409266409267,1295
2018092312,0,0,841.4513981358189,1502
2018092313,0,0,895.2321539416512,1611
2018092314,0,0,853.1940469376074,1747
2018092315,0,0,883.4680493273543,1784
2018092316,0,0,748.7989097516656,1651
2018092317,0,0,688.6041009463722,1268
2018092318,0,0,678.4351949420443,949
2018092319,0,0,620.3374233128834,652
2018092320,0,0,597.5211267605633,497
2018092321,0,0,585.556338028169,426
2018092322,0,0,581.1320224719101,356
2018092323,0,0,586.872,250
2018092400,1,0,548.1967213114754,122
2018092401,1,0,635.4561403508771,57
2018092402,1,0,787.04,25
2018092403,1,0,474.02564102564105,39
2018092404,1,0,727.3333333333334,21
2018092405,1,0,604.0641025641025,78
2018092406,1,0,671.1517027863777,323
2018092407,1,0,779.9756097560976,1271
2018092408,1,0,738.1497386109037,2678
2018092409,1,0,662.6937869822485,1352
2018092410,1,0,718.7369077306734,802
2018092411,1,0,703.1824324324324,888
2018092412,1,0,694.2182502351834,1063
2018092413,1,0,724.8677474402731,1172
2018092414,1,0,813.5156398104266,1055
2018092415,1,0,759.505223880597,1340
2018092416,1,0,801.2188317349608,2294
2018092417,1,0,748.0133623368552,3218
2018092418,1,0,712.4315332690453,2074
2018092419,1,0,626.6464646464647,1386
2018092420,1,0,618.9333333333333,915
2018092421,1,0,646.7745222929937,785
2018092422,1,0,628.6504854368932,515
2018092423,1,0,624.2906574394464,289
2018092500,1,0,628.2388888888889,180
2018092501,1,0,629.012987012987,77
2018092502,1,0,717.6379310344828,58
2018092503,1,0,703.0681818181819,44
2018092504,1,0,813.7307692307693,26
2018092505,1,0,676.6931818181819,88
2018092506,1,0,689.5292479108635,359
2018092507,1,0,731.0007662835249,1305
2018092508,1,0,722.6716010907675,2567
2018092509,1,0,562.8545918367347,784
2018092510,1,0,632.2243436754177,419
2018092511,1,0,554.6719101123596,445
2018092512,1,0,487.2563025210084,238
2018092513,1,0,523.9498432601881,319
2018092514,1,0,517.7523809523809,315
2018092515,1,0,576.5882352941177,374
2018092516,1,0,666.5270394133822,1091
2018092517,1,0,663.7163437655241,2013
